dataset,iters,norm,ndcg
NP2003,328,global normalization,0.23452
NP2004,330,query-level normalization,0.23474
NP2004,330,global normalization,0.14032
HP2004,330,query-level normalization,0.07162
HP2004,330,global normalization,0.10802
OHSUMED,330,query-level normalization,0.43904
OHSUMED,330,global normalization,0.4399
TD2004,330,query-level normalization,0.24608
TD2004,330,global normalization,0.27092
HP2003,330,query-level normalization,0.75258
HP2003,330,global normalization,0.70106
TD2003,330,query-level normalization,0.30914
TD2003,330,global normalization,0.32686
NP2003,330,query-level normalization,0.21034
NP2003,330,global normalization,0.22566
NP2004,332,query-level normalization,0.26272
NP2004,332,global normalization,0.1863
HP2004,332,query-level normalization,0.02668
HP2004,332,global normalization,0.1639
OHSUMED,332,query-level normalization,0.4309
OHSUMED,332,global normalization,0.43618
TD2004,332,query-level normalization,0.2513
TD2004,332,global normalization,0.2523
HP2003,332,query-level normalization,0.67718
HP2003,332,global normalization,0.67906
TD2003,332,query-level normalization,0.31722
TD2003,332,global normalization,0.3328
NP2003,332,query-level normalization,0.2532
NP2003,332,global normalization,0.20224
NP2004,334,query-level normalization,0.16906
NP2004,334,global normalization,0.21458
HP2004,334,query-level normalization,0.09602
HP2004,334,global normalization,0.24706
OHSUMED,334,query-level normalization,0.44028
OHSUMED,334,global normalization,0.43968
TD2004,334,query-level normalization,0.24446
TD2004,334,global normalization,0.26008
HP2003,334,query-level normalization,0.7244
HP2003,334,global normalization,0.6641
TD2003,334,query-level normalization,0.31526
TD2003,334,global normalization,0.33888
NP2003,334,query-level normalization,0.15476
NP2003,334,global normalization,0.16644
NP2004,336,query-level normalization,0.12386
NP2004,336,global normalization,0.13154
HP2004,336,query-level normalization,0.31092
HP2004,336,global normalization,0.14746
OHSUMED,336,query-level normalization,0.44356
OHSUMED,336,global normalization,0.4458
TD2004,336,query-level normalization,0.26568
TD2004,336,global normalization,0.28928
HP2003,336,query-level normalization,0.70476
HP2003,336,global normalization,0.6977
TD2003,336,query-level normalization,0.31108
TD2003,336,global normalization,0.2948
NP2003,336,query-level normalization,0.22266
NP2003,336,global normalization,0.22388
NP2004,338,query-level normalization,0.13212
NP2004,338,global normalization,0.20728
HP2004,338,query-level normalization,0.41706
HP2004,338,global normalization,0.6974
OHSUMED,338,query-level normalization,0.44414
OHSUMED,338,global normalization,0.4398
TD2004,338,query-level normalization,0.24308
TD2004,338,global normalization,0.2355
HP2003,338,query-level normalization,0.71644
HP2003,338,global normalization,0.73514
TD2003,338,query-level normalization,0.32342
TD2003,338,global normalization,0.32296
NP2003,338,query-level normalization,0.20284
NP2003,338,global normalization,0.25242
NP2004,340,query-level normalization,0.20192
NP2004,340,global normalization,0.29182
HP2004,340,query-level normalization,0.2979
HP2004,340,global normalization,0.1143
OHSUMED,340,query-level normalization,0.44716
OHSUMED,340,global normalization,0.4448
TD2004,340,query-level normalization,0.24966
TD2004,340,global normalization,0.24796
HP2003,340,query-level normalization,0.73
HP2003,340,global normalization,0.70848
TD2003,340,query-level normalization,0.32768
TD2003,340,global normalization,0.33048
NP2003,340,query-level normalization,0.23262
NP2003,340,global normalization,0.21566
NP2004,342,query-level normalization,0.27044
NP2004,342,global normalization,0.23146
HP2004,342,query-level normalization,0.37812
HP2004,342,global normalization,0.51898
OHSUMED,342,query-level normalization,0.44402
OHSUMED,342,global normalization,0.43774
TD2004,342,query-level normalization,0.24396
TD2004,342,global normalization,0.24974
HP2003,342,query-level normalization,0.70948
HP2003,342,global normalization,0.6951
TD2003,342,query-level normalization,0.32486
TD2003,342,global normalization,0.31866
NP2003,342,query-level normalization,0.19098
NP2003,342,global normalization,0.14456
